Book;Chapter;Verse;Content
Isaiah;7;15;"He shall eat curds and honey when he knows how to refuse the evil and choose the good."
Isaiah;7;16;"For before the boy knows how to refuse the evil and choose the good, the land whose two kings you dread will be deserted."
Isaiah;7;17;"The Lord will bring upon you and upon your people and upon your father's house such days as have not come since the day that Ephraim departed from Judah—the king of Assyria!”"
Isaiah;7;18;"In that day the Lord will whistle for the fly that is at the end of the streams of Egypt, and for the bee that is in the land of Assyria."
Isaiah;7;19;"And they will all come and settle in the steep ravines, and in the clefts of the rocks, and on all the thornbushes, and on all the pastures."
Isaiah;7;20;"In that day the Lord will shave with a razor that is hired beyond the River—with the king of Assyria—the head and the hair of the feet, and it will sweep away the beard also."
Isaiah;7;21;"In that day a man will keep alive a young cow and two sheep,"
Isaiah;7;22;"and because of the abundance of milk that they give, he will eat curds, for everyone who is left in the land will eat curds and honey."
Isaiah;7;23;"In that day every place where there used to be a thousand vines, worth a thousand shekels of silver, will become briers and thorns."
Isaiah;7;24;"With bow and arrows a man will come there, for all the land will be briers and thorns."
Isaiah;7;25;"And as for all the hills that used to be hoed with a hoe, you will not come there for fear of briers and thorns, but they will become a place where cattle are let loose and where sheep tread."
Isaiah;8;8;"Then the Lord said to me, “Take a large tablet and write on it in common characters, ‘Belonging to Maher-shalal-hash-baz.’"
Isaiah;8;2;"And I will get reliable witnesses, Uriah the priest and Zechariah the son of Jeberechiah, to attest for me.”"
Isaiah;8;3;"And I went to the prophetess, and she conceived and bore a son. Then the Lord said to me, “Call his name Maher-shalal-hash-baz;"
Isaiah;8;4;"for before the boy knows how to cry ‘My father’ or ‘My mother,’ the wealth of Damascus and the spoil of Samaria will be carried away before the king of Assyria.”"
Isaiah;8;5;"The Lord spoke to me again:"
Isaiah;8;6;"“Because this people has refused the waters of Shiloah that flow gently, and rejoice over Rezin and the son of Remaliah,"
Isaiah;8;7;"therefore, behold, the Lord is bringing up against them the waters of the River, mighty and many, the king of Assyria and all his glory. And it will rise over all its channels and go over all its banks,"
Isaiah;8;8;"and it will sweep on into Judah, it will overflow and pass on, reaching even to the neck, and its outspread wings will fill the breadth of your land, O Immanuel.”"
Isaiah;8;9;"Be broken, you peoples, and be shattered;"
Isaiah;8;10;"Take counsel together, but it will come to nothing;"
Isaiah;8;11;"For the Lord spoke thus to me with his strong hand upon me, and warned me not to walk in the way of this people, saying:"
Isaiah;8;12;"“Do not call conspiracy all that this people calls conspiracy, and do not fear what they fear, nor be in dread."
Isaiah;8;13;"But the Lord of hosts, him you shall honor as holy. Let him be your fear, and let him be your dread."
Isaiah;8;14;"And he will become a sanctuary and a stone of offense and a rock of stumbling to both houses of Israel, a trap and a snare to the inhabitants of Jerusalem."
Isaiah;8;15;"And many shall stumble on it. They shall fall and be broken; they shall be snared and taken.”"
Isaiah;8;16;"Bind up the testimony; seal the teaching among my disciples."
Isaiah;8;17;"I will wait for the Lord, who is hiding his face from the house of Jacob, and I will hope in him."
Isaiah;8;18;"Behold, I and the children whom the Lord has given me are signs and portents in Israel from the Lord of hosts, who dwells on Mount Zion."
Isaiah;8;19;"And when they say to you, “Inquire of the mediums and the necromancers who chirp and mutter,” should not a people inquire of their God? Should they inquire of the dead on behalf of the living?"
Isaiah;8;20;"To the teaching and to the testimony! If they will not speak according to this word, it is because they have no dawn."
Isaiah;8;21;"They will pass through the land, greatly distressed and hungry. And when they are hungry, they will be enraged and will speak contemptuously against their king and their God, and turn their faces upward."
Isaiah;8;22;"And they will look to the earth, but behold, distress and darkness, the gloom of anguish. And they will be thrust into thick darkness."
Isaiah;9;9;" But there will be no gloom for her who was in anguish. In the former time he brought into contempt the land of Zebulun and the land of Naphtali, but in the latter time he has made glorious the way of the sea, the land beyond the Jordan, Galilee of the nations."
Isaiah;9;2;" The people who walked in darkness"
Isaiah;9;3;"You have multiplied the nation;"
Isaiah;9;4;"For the yoke of his burden,"
Isaiah;9;5;"For every boot of the tramping warrior in battle tumult"
Isaiah;9;6;"For to us a child is born,"
Isaiah;9;7;"Of the increase of his government and of peace"
Isaiah;9;8;"The Lord has sent a word against Jacob,"
Isaiah;9;9;"and all the people will know,"
Isaiah;9;10;"“The bricks have fallen,"
Isaiah;9;11;"But the Lord raises the adversaries of Rezin against him,"
Isaiah;9;12;"The Syrians on the east and the Philistines on the west"
Isaiah;9;13;"The people did not turn to him who struck them,"
Isaiah;9;14;"So the Lord cut off from Israel head and tail,"
Isaiah;9;15;"the elder and honored man is the head,"
Isaiah;9;16;"for those who guide this people have been leading them astray,"
Isaiah;9;17;"Therefore the Lord does not rejoice over their young men,"
Isaiah;9;18;"For wickedness burns like a fire;"
Isaiah;9;19;"Through the wrath of the Lord of hosts"
Isaiah;9;20;"They slice meat on the right, but are still hungry,"
Isaiah;9;21;"Manasseh devours Ephraim, and Ephraim devours Manasseh;"
Isaiah;10;10;"Woe to those who decree iniquitous decrees,"
Isaiah;10;2;"to turn aside the needy from justice"
Isaiah;10;3;"What will you do on the day of punishment,"
Isaiah;10;4;"Nothing remains but to crouch among the prisoners"
Isaiah;10;5;"Woe to Assyria, the rod of my anger;"
Isaiah;10;6;"Against a godless nation I send him,"
Isaiah;10;7;"But he does not so intend,"
Isaiah;10;8;"for he says:"
Isaiah;10;9;"Is not Calno like Carchemish?"
Isaiah;10;10;"As my hand has reached to the kingdoms of the idols,"
Isaiah;10;11;"shall I not do to Jerusalem and her idols"
Isaiah;10;12;"When the Lord has finished all his work on Mount Zion and on Jerusalem, he will punish the speech of the arrogant heart of the king of Assyria and the boastful look in his eyes."
Isaiah;10;13;"For he says:"
Isaiah;10;14;"My hand has found like a nest"
Isaiah;10;15;"Shall the axe boast over him who hews with it,"
Isaiah;10;16;"Therefore the Lord God of hosts"
Isaiah;10;17;"The light of Israel will become a fire,"
Isaiah;10;18;"The glory of his forest and of his fruitful land"
Isaiah;10;19;"The remnant of the trees of his forest will be so few"
Isaiah;10;20;"In that day the remnant of Israel and the survivors of the house of Jacob will no more lean on him who struck them, but will lean on the Lord, the Holy One of Israel, in truth."
Isaiah;10;21;"A remnant will return, the remnant of Jacob, to the mighty God."
Isaiah;10;22;"For though your people Israel be as the sand of the sea, only a remnant of them will return. Destruction is decreed, overflowing with righteousness."
Isaiah;10;23;"For the Lord God of hosts will make a full end, as decreed, in the midst of all the earth."
Isaiah;10;24;"Therefore thus says the Lord God of hosts: “O my people, who dwell in Zion, be not afraid of the Assyrians when they strike with the rod and lift up their staff against you as the Egyptians did."
Isaiah;10;25;"For in a very little while my fury will come to an end, and my anger will be directed to their destruction."
Isaiah;10;26;"And the Lord of hosts will wield against them a whip, as when he struck Midian at the rock of Oreb. And his staff will be over the sea, and he will lift it as he did in Egypt."
Isaiah;10;27;"And in that day his burden will depart from your shoulder, and his yoke from your neck; and the yoke will be broken because of the fat.”"
Isaiah;10;28;"He has come to Aiath;"
Isaiah;10;29;"they have crossed over the pass;"
Isaiah;10;30;"Cry aloud, O daughter of Gallim!"
Isaiah;10;31;"Madmenah is in flight;"
Isaiah;10;32;"This very day he will halt at Nob;"
Isaiah;10;33;"Behold, the Lord God of hosts"
Isaiah;10;34;"He will cut down the thickets of the forest with an axe,"
Isaiah;11;11;"There shall come forth a shoot from the stump of Jesse,"
Isaiah;11;2;"And the Spirit of the Lord shall rest upon him,"
Isaiah;11;3;"And his delight shall be in the fear of the Lord."
Isaiah;11;4;"but with righteousness he shall judge the poor,"
Isaiah;11;5;"Righteousness shall be the belt of his waist,"
Isaiah;11;6;"The wolf shall dwell with the lamb,"
Isaiah;11;7;"The cow and the bear shall graze;"
Isaiah;11;8;"The nursing child shall play over the hole of the cobra,"
Isaiah;11;9;"They shall not hurt or destroy"
Isaiah;11;10;"In that day the root of Jesse, who shall stand as a signal for the peoples—of him shall the nations inquire, and his resting place shall be glorious."
Isaiah;11;11;"In that day the Lord will extend his hand yet a second time to recover the remnant that remains of his people, from Assyria, from Egypt, from Pathros, from Cush, from Elam, from Shinar, from Hamath, and from the coastlands of the sea."
Isaiah;11;12;"He will raise a signal for the nations"
Isaiah;11;13;"The jealousy of Ephraim shall depart,"
Isaiah;11;14;"But they shall swoop down on the shoulder of the Philistines in the west,"
Isaiah;11;15;"And the Lord will utterly destroy"
Isaiah;11;16;"And there will be a highway from Assyria"
Isaiah;12;12;"You will say in that day:"
Isaiah;12;2;"“Behold, God is my salvation;"
Isaiah;12;3;"With joy you will draw water from the wells of salvation."
Isaiah;12;4;"And you will say in that day:"
Isaiah;12;5;"“Sing praises to the Lord, for he has done gloriously;"
Isaiah;12;6;"Shout, and sing for joy, O inhabitant of Zion,"
Isaiah;13;13;"The oracle concerning Babylon which Isaiah the son of Amoz saw."
Isaiah;13;2;"On a bare hill raise a signal;"
Isaiah;13;3;"I myself have commanded my consecrated ones,"
Isaiah;13;4;"The sound of a tumult is on the mountains"
Isaiah;13;5;"They come from a distant land,"
Isaiah;13;6;"Wail, for the day of the Lord is near;"
Isaiah;13;7;"Therefore all hands will be feeble,"
Isaiah;13;8;"They will be dismayed:"
Isaiah;13;9;"Behold, the day of the Lord comes,"
Isaiah;13;10;"For the stars of the heavens and their constellations"
Isaiah;13;11;"I will punish the world for its evil,"
Isaiah;13;12;"I will make people more rare than fine gold,"
Isaiah;13;13;"Therefore I will make the heavens tremble,"
Isaiah;13;14;"And like a hunted gazelle,"
Isaiah;13;15;"Whoever is found will be thrust through,"
Isaiah;13;16;"Their infants will be dashed in pieces"
Isaiah;13;17;"Behold, I am stirring up the Medes against them,"
Isaiah;13;18;"Their bows will slaughter the young men;"
Isaiah;13;19;"And Babylon, the glory of kingdoms,"
Isaiah;13;20;"It will never be inhabited"
Isaiah;13;21;"But wild animals will lie down there,"
Isaiah;13;22;"Hyenas will cry in its towers,"
Isaiah;14;14;"For the Lord will have compassion on Jacob and will again choose Israel, and will set them in their own land, and sojourners will join them and will attach themselves to the house of Jacob."
Isaiah;14;2;"And the peoples will take them and bring them to their place, and the house of Israel will possess them in the Lord's land as male and female slaves. They will take captive those who were their captors, and rule over those who oppressed them."
Isaiah;14;3;"When the Lord has given you rest from your pain and turmoil and the hard service with which you were made to serve,"
Isaiah;14;4;"you will take up this taunt against the king of Babylon:"
Isaiah;14;5;"The Lord has broken the staff of the wicked,"
Isaiah;14;6;"that struck the peoples in wrath"
Isaiah;14;7;"The whole earth is at rest and quiet;"
Isaiah;14;8;"The cypresses rejoice at you,"
Isaiah;14;9;"Sheol beneath is stirred up"
Isaiah;14;10;"All of them will answer"
Isaiah;14;11;"Your pomp is brought down to Sheol,"
Isaiah;14;12;"“How you are fallen from heaven,"
Isaiah;14;13;"You said in your heart,"
Isaiah;14;14;"I will ascend above the heights of the clouds;"
Isaiah;14;15;"But you are brought down to Sheol,"
Isaiah;14;16;"Those who see you will stare at you"
Isaiah;14;17;"who made the world like a desert"
Isaiah;14;18;"All the kings of the nations lie in glory,"
Isaiah;14;19;"but you are cast out, away from your grave,"
Isaiah;14;20;"You will not be joined with them in burial,"
Isaiah;14;21;"Prepare slaughter for his sons"
Isaiah;14;22;"“I will rise up against them,” declares the Lord of hosts, “and will cut off from Babylon name and remnant, descendants and posterity,” declares the Lord."
Isaiah;14;23;"“And I will make it a possession of the hedgehog, and pools of water, and I will sweep it with the broom of destruction,” declares the Lord of hosts."
Isaiah;14;24;"The Lord of hosts has sworn:"
Isaiah;14;25;"that I will break the Assyrian in my land,"
Isaiah;14;26;"This is the purpose that is purposed"
Isaiah;14;27;"For the Lord of hosts has purposed,"
Isaiah;14;28;"In the year that King Ahaz died came this oracle:"
Isaiah;14;29;"Rejoice not, O Philistia, all of you,"
Isaiah;14;30;"And the firstborn of the poor will graze,"
Isaiah;14;31;"Wail, O gate; cry out, O city;"
Isaiah;14;32;"What will one answer the messengers of the nation?"
Isaiah;15;15;"An oracle concerning Moab."
Isaiah;15;2;"He has gone up to the temple, and to Dibon,"
Isaiah;15;3;"in the streets they wear sackcloth;"
Isaiah;15;4;"Heshbon and Elealeh cry out;"
Isaiah;15;5;"My heart cries out for Moab;"
Isaiah;15;6;"the waters of Nimrim"
Isaiah;15;7;"Therefore the abundance they have gained"
Isaiah;15;8;"For a cry has gone"
Isaiah;15;9;"For the waters of Dibon are full of blood;"
Isaiah;16;16;"Send the lamb to the ruler of the land,"
Isaiah;16;2;"Like fleeing birds,"
Isaiah;16;3;"“Give counsel;"
Isaiah;16;4;"let the outcasts of Moab"
Isaiah;16;5;"then a throne will be established in steadfast love,"
Isaiah;16;6;"We have heard of the pride of Moab—"
Isaiah;16;7;"Therefore let Moab wail for Moab,"
Isaiah;16;8;"For the fields of Heshbon languish,"
Isaiah;16;9;"Therefore I weep with the weeping of Jazer"
Isaiah;16;10;"And joy and gladness are taken away from the fruitful field,"
Isaiah;16;11;"Therefore my inner parts moan like a lyre for Moab,"
Isaiah;16;12;"And when Moab presents himself, when he wearies himself on the high place, when he comes to his sanctuary to pray, he will not prevail."
Isaiah;16;13;"This is the word that the Lord spoke concerning Moab in the past."
Isaiah;16;14;"But now the Lord has spoken, saying, “In three years, like the years of a hired worker, the glory of Moab will be brought into contempt, in spite of all his great multitude, and those who remain will be very few and feeble.”"
Isaiah;17;17;"An oracle concerning Damascus."
Isaiah;17;2;"The cities of Aroer are deserted;"
Isaiah;17;3;"The fortress will disappear from Ephraim,"
Isaiah;17;4;"And in that day the glory of Jacob will be brought low,"
Isaiah;17;5;"And it shall be as when the reaper gathers standing grain"
Isaiah;17;6;"Gleanings will be left in it,"
Isaiah;17;7;"In that day man will look to his Maker, and his eyes will look on the Holy One of Israel."
Isaiah;17;8;"He will not look to the altars, the work of his hands, and he will not look on what his own fingers have made, either the Asherim or the altars of incense."
Isaiah;17;9;"In that day their strong cities will be like the deserted places of the wooded heights and the hilltops, which they deserted because of the children of Israel, and there will be desolation."
Isaiah;17;10;"For you have forgotten the God of your salvation"
Isaiah;17;11;"though you make them grow on the day that you plant them,"
Isaiah;17;12;"Ah, the thunder of many peoples;"
Isaiah;17;13;"The nations roar like the roaring of many waters,"
Isaiah;17;14;"At evening time, behold, terror!"
Isaiah;18;18;"Ah, land of whirring wings"
Isaiah;18;2;"which sends ambassadors by the sea,"
Isaiah;18;3;"All you inhabitants of the world,"
Isaiah;18;4;"For thus the Lord said to me:"
Isaiah;18;5;"For before the harvest, when the blossom is over,"
Isaiah;18;6;"They shall all of them be left"
Isaiah;18;7;"At that time tribute will be brought to the Lord of hosts"
Isaiah;19;19;"An oracle concerning Egypt."
Isaiah;19;2;"And I will stir up Egyptians against Egyptians,"
Isaiah;19;3;"and the spirit of the Egyptians within them will be emptied out,"
Isaiah;19;4;"and I will give over the Egyptians"
Isaiah;19;5;"And the waters of the sea will be dried up,"
Isaiah;19;6;"and its canals will become foul,"
Isaiah;19;7;"There will be bare places by the Nile,"
Isaiah;19;8;"The fishermen will mourn and lament,"
Isaiah;19;9;"The workers in combed flax will be in despair,"
Isaiah;19;10;"Those who are the pillars of the land will be crushed,"
Isaiah;19;11;"The princes of Zoan are utterly foolish;"
Isaiah;19;12;"Where then are your wise men?"
Isaiah;19;13;"The princes of Zoan have become fools,"
Isaiah;19;14;"The Lord has mingled within her a spirit of confusion,"
Isaiah;19;15;"And there will be nothing for Egypt"
Isaiah;19;16;"In that day the Egyptians will be like women, and tremble with fear before the hand that the Lord of hosts shakes over them."
Isaiah;19;17;"And the land of Judah will become a terror to the Egyptians. Everyone to whom it is mentioned will fear because of the purpose that the Lord of hosts has purposed against them."
Isaiah;19;18;"In that day there will be five cities in the land of Egypt that speak the language of Canaan and swear allegiance to the Lord of hosts. One of these will be called the City of Destruction."
Isaiah;19;19;"In that day there will be an altar to the Lord in the midst of the land of Egypt, and a pillar to the Lord at its border."
Isaiah;19;20;"It will be a sign and a witness to the Lord of hosts in the land of Egypt. When they cry to the Lord because of oppressors, he will send them a savior and defender, and deliver them."
Isaiah;19;21;"And the Lord will make himself known to the Egyptians, and the Egyptians will know the Lord in that day and worship with sacrifice and offering, and they will make vows to the Lord and perform them."
Isaiah;19;22;"And the Lord will strike Egypt, striking and healing, and they will return to the Lord, and he will listen to their pleas for mercy and heal them."
