Book;Chapter;Verse;Content
Psalm;16;11;"You make known to me the path of life;"
Psalm;17;17;"Hear a just cause, O Lord; attend to my cry!"
Psalm;17;2;"From your presence let my vindication come!"
Psalm;17;3;"You have tried my heart, you have visited me by night,"
Psalm;17;4;"With regard to the works of man, by the word of your lips"
Psalm;17;5;"My steps have held fast to your paths;"
Psalm;17;6;"I call upon you, for you will answer me, O God;"
Psalm;17;7;"Wondrously show your steadfast love,"
Psalm;17;8;"Keep me as the apple of your eye;"
Psalm;17;9;"from the wicked who do me violence,"
Psalm;17;10;"They close their hearts to pity;"
Psalm;17;11;"They have now surrounded our steps;"
Psalm;17;12;"He is like a lion eager to tear,"
Psalm;17;13;"Arise, O Lord! Confront him, subdue him!"
Psalm;17;14;"from men by your hand, O Lord,"
Psalm;17;15;"As for me, I shall behold your face in righteousness;"
Psalm;18;18;"I love you, O Lord, my strength."
Psalm;18;2;"The Lord is my rock and my fortress and my deliverer,"
Psalm;18;3;"I call upon the Lord, who is worthy to be praised,"
Psalm;18;4;"The cords of death encompassed me;"
Psalm;18;5;"the cords of Sheol entangled me;"
Psalm;18;6;"In my distress I called upon the Lord;"
Psalm;18;7;"Then the earth reeled and rocked;"
Psalm;18;8;"Smoke went up from his nostrils,"
Psalm;18;9;"He bowed the heavens and came down;"
Psalm;18;10;"He rode on a cherub and flew;"
Psalm;18;11;"He made darkness his covering, his canopy around him,"
Psalm;18;12;"Out of the brightness before him"
Psalm;18;13;"The Lord also thundered in the heavens,"
Psalm;18;14;"And he sent out his arrows and scattered them;"
Psalm;18;15;"Then the channels of the sea were seen,"
Psalm;18;16;"He sent from on high, he took me;"
Psalm;18;17;"He rescued me from my strong enemy"
Psalm;18;18;"They confronted me in the day of my calamity,"
Psalm;18;19;"He brought me out into a broad place;"
Psalm;18;20;"The Lord dealt with me according to my righteousness;"
Psalm;18;21;"For I have kept the ways of the Lord,"
Psalm;18;22;"For all his rules were before me,"
Psalm;18;23;"I was blameless before him,"
Psalm;18;24;"So the Lord has rewarded me according to my righteousness,"
Psalm;18;25;"With the merciful you show yourself merciful;"
Psalm;18;26;"with the purified you show yourself pure;"
Psalm;18;27;"For you save a humble people,"
Psalm;18;28;"For it is you who light my lamp;"
